"Timestamp","(1) What is your current year of study?","(2) What is your primary field of study?","(3) What is your gender?","(4) What type of institution are you currently enrolled in?","(5) How long have you been using AI tools (e.g., ChatGPT, Gemini, Copilot, etc.)?","(6) Which was the first AI tool you ever used?","(7) Which AI tool do you use most frequently right now?","(8) Which AI tools have you used in the last 30 days? (Select all that apply)","(9) What are your primary use cases for AI tools in your academic life? (Select all that apply)","(10) What is your average usage frequency of AI tools?","(11) Approximately how many hours do AI tools save you per week on academic tasks?","(12) To what extent do you generally trust the outputs/answers generated by AI tools for academic purposes?","(13) Regarding AI tool subscriptions (e.g., ChatGPT Plus, Gemini Advanced, etc.):","(14) Have you ever submitted content generated entirely by AI (e.g., essays, code blocks) as your own work without significant modification or citation?","(15) How concerned are you that the increasing reliance on AI tools might devalue or atrophy core academic/professional skills (e.g., critical thinking, writing, coding)?","(16) On a scale of 0 to 10, how likely are you to recommend the use of AI tools to a peer or junior student?"
"2026/04/08 7:47:05 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","2+ years","ChatGPT","Claude","ChatGPT;Claude;Gemini;Grok;Stable Diffusion;GitHub Copilot","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts)","Multiple times a day","6–10 hours","4","No, I only use free tiers/models","Often","3","9"
"2026/04/08 7:52:32 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","2+ years","ChatGPT","Gemini (or Google Bard)","ChatGPT;Claude;Gemini;Grok;GitHub Copilot;Cursor","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts);Entertainment","Multiple times a day","More than 10 hours","5","Yes, I pay for a subscription myself","Sometimes","3","8"
"2026/04/08 7:52:48 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","1–2 years","ChatGPT","Claude","ChatGPT;Claude;Gemini;Perplexity;DeepSeek","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Research & summarization;Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts)","Multiple times a day","3–5 hours","3","Yes, my institution/scholarship pays for my subscription","Never","2","4"
"2026/04/08 7:55:04 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","6–12 months","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini;Perplexity","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics","Once a day","3–5 hours","3","No, I only use free tiers/models","Sometimes","4","8"
"2026/04/08 7:55:24 PM GMT+5:30","3rd","Data Science & AI","Male","IIT","2+ years","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini;Microsoft Copilot;DeepSeek;GitHub Copilot;Suno;ElevenLabs","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Research & summarization;Career prep (e.g., mock interviews, resume review)","Multiple times a day","3–5 hours","4","No, I only use free tiers/models","Rarely","5","10"
"2026/04/08 7:55:49 PM GMT+5:30","3rd","Engineering (Non-CS/IT)","Male","IIT","2+ years","ChatGPT","ChatGPT","ChatGPT;Claude;Perplexity","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Image/video generation (creative projects)","Multiple times a day","3–5 hours","3","No, I only use free tiers/models","Often","4","10"
"2026/04/08 7:56:09 PM GMT+5:30","4th","Engineering (Non-CS/IT)","Non-binary","IIT","2+ years","Haven't used any","Grammarly","Grammarly AI","Coding & debugging;Studying concepts/explaining difficult topics","Multiple times a day","More than 10 hours","5","Yes, my institution/scholarship pays for my subscription","Often","1","10"
"2026/04/08 7:56:14 PM GMT+5:30","1st","CS/IT","Male","IIT","1–2 years","ChatGPT","Claude","ChatGPT;Claude;Gemini","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review)","Multiple times a day","3–5 hours","4","No, I only use free tiers/models","Often","4","9"
"2026/04/08 7:56:39 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Male","IIT","1–2 years","ChatGPT","Gemini (or Google Bard)","ChatGPT;Claude;Gemini;Grammarly AI","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Productivity (e.g., scheduling, email drafts)","Once a day","3–5 hours","3","Yes, my institution/scholarship pays for my subscription","Rarely","2","8"
"2026/04/08 7:57:38 PM GMT+5:30","3rd","CS/IT","Male","IIT","2+ years","ChatGPT","Claude","ChatGPT;Claude;Gemini;GitHub Copilot;Cursor","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts);Entertainment","Multiple times a day","3–5 hours","5","Yes, I pay for a subscription myself","Sometimes","2","9"
